Original,POS
IN TRODU CTION 1.,"['NNP', 'NNP', 'NNP', 'CD', '.']"
OVERVIEW AND PURPOSE OF THIS GUIDE Project management is not new.,"['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NN', 'VBZ', 'RB', 'JJ', '.']"
It has been in use for hundreds of years.,"['PRP', 'VBZ', 'VBN', 'IN', 'NN', 'IN', 'NNS', 'IN', 'NNS', '.']"
"Examples of project outcomes include: Pyramids of Giza, uu Olympic games, uu Great Wall of China, uu Taj Mahal, uu Publication of a children's book, uu Panama Canal, uu Development of commercial jet airplanes, uu Polio vaccine, uu Human beings landing on the moon, uu Commercial software applications, uu Portable devices to use the global positioning system (GPS), and uu Placement of the International Space Station into Earth's orbit.","['NNS', 'IN', 'NN', 'NNS', 'VBP', ':', 'NNS', 'IN', 'NNP', ',', 'JJ', 'NNP', 'NNS', ',', 'JJ', 'NNP', 'NNP', 'IN', 'NNP', ',', 'JJ', 'NNP', 'NNP', ',', 'JJ', 'NNP', 'IN', 'DT', 'NNS', 'POS', 'NN', ',', 'JJ', 'NNP', 'NNP', ',', 'JJ', 'NNP', 'IN', 'JJ', 'NN', 'NNS', ',', 'JJ', 'NNP', 'NN', ',', 'JJ', 'NNP', 'NNS', 'VBG', 'IN', 'DT', 'NN', ',', 'JJ', 'NNP', 'NN', 'NNS', ',', 'JJ', 'JJ', 'NNS', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', '(', 'NNP', ')', ',', 'CC', 'JJ', 'NNP', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'POS', 'NN', '.']"
"The outcomes of these projects were the result of leaders and managers applying project management practices, principles, processes, tools, and techniques to their work.","['DT', 'NNS', 'IN', 'DT', 'NNS', 'VBD', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', 'VBG', 'NN', 'NN', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', 'TO', 'PRP$', 'NN', '.']"
The managers of these projects used a set of key skills and applied knowledge to satisfy their customers and other people involved in and affected by the project.,"['DT', 'NNS', 'IN', 'DT', 'NNS', 'VBD', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'VBD', 'NN', 'TO', 'VB', 'PRP$', 'NNS', 'CC', 'JJ', 'NNS', 'VBN', 'IN', 'CC', 'VBN', 'IN', 'DT', 'NN', '.']"
"By the mid-20th century, project managers began the work of seeking recognition for project management as a profession.","['IN', 'DT', 'JJ', 'NN', ',', 'NN', 'NNS', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'NN', 'IN', 'NN', 'NN', 'IN', 'DT', 'NN', '.']"
One aspect of this work involved obtaining agreement on the content of the body of knowledge (BOK) called project management.,"['CD', 'NN', 'IN', 'DT', 'NN', 'VBN', 'VBG', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN', '(', 'NNP', ')', 'VBD', 'NN', 'NN', '.']"
This BOK became known as the Project Management Body of Knowledge (PMBOK).,"['DT', 'NNP', 'VBD', 'VBN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', '(', 'NNP', ')', '.']"
The Project Management Institute (PMI) produced a baseline of charts and glossaries for the PMBOK.,"['DT', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', 'VBD', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', 'IN', 'DT', 'NNP', '.']"
